id,name,host_id,street,neighbourhood,zipcode,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,amenities_count,price,weekly_price,monthly_price,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights,maximum_nights,instant_bookable,cancellation_policy,require_guest_profile_picture,require_guest_phone_verification,avg_availability
10310373,"Cozy, cute, Queen Anne living",53050379,"14th Avenue West, Seattle, WA 98119, United States",Queen Anne,98119,Apartment,Private room,3,1.0,1,1,Real Bed,12,20.0,-1.0,-1.0,-1.0,-1.0,1,0.0,1,1125,True,flexible,True,True,0.7931887366818874
9368342,"Beautiful, Modern Townhouse",1039322,"8th Avenue West, Seattle, WA 98119, United States",Queen Anne,98119,Townhouse,Entire home/apt,2,1.5,1,1,Real Bed,17,150.0,-1.0,-1.0,500.0,50.0,2,30.0,4,1125,True,strict,True,True,0.14520547945205478
6361863,Located in the heart of Queen Anne,25150356,"3rd Avenue West, Seattle, WA 98119, United States",Queen Anne,98119,Apartment,Entire home/apt,2,1.0,1,1,Real Bed,16,145.0,-1.0,-1.0,100.0,30.0,2,10.0,2,1125,True,moderate,True,True,0.70587899543379
8105221,Cozy room in Modern Queen Anne Home,15155647,"Gilman Drive West, Seattle, WA 98119, United States",Queen Anne,98119,Townhouse,Private room,2,1.0,1,1,Futon,12,80.0,-1.0,-1.0,-1.0,-1.0,1,0.0,1,1125,True,flexible,True,True,0.9993150684931507
3269390,Stand alone Guest Cottage,12171359,"6th Avenue West, Seattle, WA 98119, United States",Queen Anne,98119,House,Entire home/apt,2,1.0,0,1,Real Bed,18,95.0,-1.0,-1.0,200.0,60.0,1,0.0,3,1125,True,moderate,True,True,0.6420852359208524
4566393,Beautiful West Queen Anne Craftsman,23669617,"7th Avenue West, Seattle, WA 98119, United States",Queen Anne,98119,House,Entire home/apt,4,2.5,3,3,Real Bed,12,400.0,2100.0,7500.0,750.0,120.0,4,20.0,2,1125,True,moderate,True,True,1.0
9282409,Bright & Airy room w/ $1M views,560743,"9th Avenue West, Seattle, WA 98119, United States",Queen Anne,98119,House,Private room,2,2.0,1,1,Real Bed,12,85.0,450.0,-1.0,-1.0,-1.0,1,0.0,2,1125,True,moderate,True,True,0.16917808219178082
8095168,Private room in upper QA w/ view!,3521823,"10th Avenue West, Seattle, WA 98119, United States",Queen Anne,98119,Apartment,Private room,2,1.0,1,1,Futon,17,70.0,-1.0,-1.0,-1.0,20.0,1,0.0,1,1125,True,flexible,True,True,0.07054794520547945
2746782,Suite Garage on Queen Anne,4016632,"West Wheeler Street, Seattle, WA 98119, United States",Queen Anne,98119,Apartment,Entire home/apt,2,1.0,0,1,Real Bed,8,90.0,540.0,-1.0,150.0,25.0,1,0.0,2,14,True,strict,True,True,0.5330479452054795
6424982,Peaceful Queen Anne Getaway,33524725,"9th Avenue West, Seattle, WA 98119, United States",Queen Anne,98119,House,Private room,2,1.0,1,1,Real Bed,10,80.0,-1.0,-1.0,-1.0,-1.0,2,15.0,1,6,True,flexible,True,True,0.9710235920852359
762029,Hand crafted Gypsy Wagon with heart,4016632,"W Wheeler St, Seattle, WA 98119, United States",Queen Anne,98119,Camper/RV,Private room,2,1.0,1,2,Real Bed,7,60.0,360.0,-1.0,150.0,25.0,2,0.0,2,7,True,strict,True,True,0.533751902587519
8988281,Cozy 2 BR/1 BA Queen Anne Home,46954097,"5th Avenue West, Seattle, WA 98119, United States",Queen Anne,98119,House,Entire home/apt,4,1.0,2,2,Real Bed,10,175.0,-1.0,-1.0,250.0,78.0,4,50.0,1,15,True,moderate,True,True,0.6162100456621005
7077910,"Modern Townhouse, Heart of Ballard!",2843411,"28th Ave NW, Seattle, WA 98107, United States",N/A,98107,House,Entire home/apt,6,2.5,3,4,Real Bed,20,170.0,1195.0,3195.0,250.0,100.0,6,100.0,4,1125,True,strict,True,True,0.3837709284627093
3772674,Cozy Ballard Apartment,18232665,"Northwest 61st Street, Seattle, WA 98107, United States",Ballard,98107,Apartment,Entire home/apt,2,1.0,1,1,Real Bed,17,85.0,650.0,-1.0,-1.0,50.0,2,20.0,3,1125,True,moderate,True,True,0.8001712328767123
7021906,Plum Modern - 5 bdrm Tranquility,28770702,"Northwest 61st Street, Seattle, WA 98107, United States",Ballard,98107,House,Entire home/apt,12,3.5,5,7,Real Bed,20,465.0,3035.0,12140.0,1000.0,250.0,1,0.0,3,1125,True,strict,True,True,0.3809741248097412
7618605,1BR-Ultra Hip Ballard-Walk to Bars!,5326074,"Northwest 56th Street, Seattle, WA 98107, United States",Ballard,98107,Apartment,Entire home/apt,2,1.0,1,1,Real Bed,10,175.0,-1.0,-1.0,250.0,50.0,1,0.0,1,1125,True,flexible,True,True,0.06438356164383562
10234558,Cozy BR in heart of lively Ballard,31887689,"NW 57th St, Seattle, WA 98107, United States",N/A,98107,Condominium,Private room,2,1.0,1,1,Real Bed,17,50.0,-1.0,-1.0,-1.0,-1.0,0,0.0,1,1125,True,flexible,True,True,0.840372907153729
7021702,"Modern, Cozy 1 Bedroom Apartment",36805437,"Northwest 59th Street, Seattle, WA 98107, United States",Ballard,98107,Apartment,Private room,2,1.0,1,1,Real Bed,1,60.0,-1.0,-1.0,-1.0,-1.0,1,0.0,1,1125,True,flexible,True,True,0.1136986301369863
7680439,Urban cottage in heart of Ballard,1612983,"Northwest 61st Street, Seattle, WA 98107, United States",Ballard,98107,House,Private room,2,1.0,1,1,Pull-out Sofa,20,59.0,351.0,-1.0,-1.0,12.0,1,0.0,1,1125,True,flexible,True,True,0.9201864535768646
4258515,**Be in the MIDDLE OF EVERYTHING!*,841009,"Northwest Market Street, Seattle, WA 98107, United States",Ballard,98107,Apartment,Private room,4,1.0,1,4,Real Bed,18,47.0,-1.0,-1.0,200.0,15.0,2,10.0,1,1125,True,strict,True,True,0.8081811263318113
1148517,Cute Cottage in Sunny Ballard,6296335,"26th Avenue Northwest, Seattle, WA 98107, United States",Ballard,98107,House,Entire home/apt,4,1.0,2,2,Real Bed,12,145.0,-1.0,-1.0,100.0,45.0,4,30.0,2,14,True,moderate,True,True,0.7922184170471841
2487892,Two blocks from downtown Ballard,1343908,"26th Avenue Northwest, Seattle, WA 98107, United States",Ballard,98107,House,Private room,2,1.0,1,1,Futon,8,70.0,-1.0,-1.0,-1.0,-1.0,1,0.0,1,1125,True,flexible,True,True,0.6654870624048705
3038772,"Cozy Private Room, Bath and Patio",15473800,"Northwest 56th Street, Seattle, WA 98107, United States",Ballard,98107,House,Private room,2,1.0,1,1,Real Bed,13,55.0,-1.0,-1.0,100.0,25.0,1,10.0,2,1125,True,moderate,True,True,0.7453006088280061
699460,Ballard Artist's Studio,3587674,"NW 60th St, Seattle, WA 98107, United States",Ballard,98107,House,Private room,4,1.0,1,2,Real Bed,11,95.0,-1.0,2000.0,-1.0,30.0,2,35.0,2,90,True,moderate,True,True,0.5184170471841705
4085439,Historic Ballard House,21066328,"Northwest 59th Street, Seattle, WA 98107, United States",Ballard,98107,House,Private room,2,1.0,1,1,Real Bed,12,125.0,-1.0,-1.0,-1.0,-1.0,1,0.0,1,1125,True,flexible,True,True,0.8765791476407914
8053990,Nautical Bedroom in Modern House,23228606,"Northwest 56th Street, Seattle, WA 98107, United States",Ballard,98107,House,Private room,2,1.0,1,1,Real Bed,11,65.0,-1.0,-1.0,-1.0,45.0,1,0.0,1,26,True,moderate,True,True,0.8410768645357687
7011773,Pull out couch in garage,23228606,"Northwest 56th Street, Seattle, WA 98107, United States",Ballard,98107,House,Private room,1,1.0,1,1,Pull-out Sofa,5,25.0,-1.0,-1.0,-1.0,-1.0,1,0.0,1,1125,True,flexible,True,True,0.03767123287671233
2467550,Tiny Ballard House Near Transit,811494,"Northwest 61st Street, Seattle, WA 98107, United States",Ballard,98107,House,Entire home/apt,4,1.0,0,2,Real Bed,16,40.0,250.0,800.0,500.0,50.0,2,10.0,5,1125,True,strict,True,True,0.03287671232876712
2686374,Bunkhouse Topbunk/Airstream Retreat,2231298,"Northwest 60th Street, Seattle, WA 98107, United States",Ballard,98107,House,Entire home/apt,6,1.0,3,4,Real Bed,23,149.0,1300.0,3950.0,-1.0,-1.0,4,20.0,1,1125,True,moderate,True,True,0.8910768645357687
1956274,Sweet Ballard Apartment for Two,7466082,"Northwest 56th Street, Seattle, WA 98107, United States",Ballard,98107,Apartment,Entire home/apt,2,1.5,1,1,Real Bed,24,125.0,900.0,3750.0,250.0,75.0,0,0.0,3,1125,True,strict,True,True,0.8910768645357687
8537192,Charming Old Ballard Bungalow (2/2),43954674,"Northwest 60th Street, Seattle, WA 98107, United States",Ballard,98107,House,Private room,2,0.5,1,1,Real Bed,12,55.0,-1.0,-1.0,-1.0,-1.0,1,0.0,1,1125,True,flexible,True,True,0.16917808219178082
5919096,Ballard Victorian 900 sq ft apt,53050,"Seattle, WA 98107, United States",Ballard,98107,Apartment,Entire home/apt,4,1.0,1,3,Real Bed,11,129.0,903.0,-1.0,250.0,75.0,1,0.0,5,999,True,strict,True,True,0.6833713850837139
6516529,"One-bedroom Apartment, Ballard",3781927,"22nd Avenue Northwest, Seattle, WA 98107, United States",Ballard,98107,Apartment,Entire home/apt,2,1.0,1,1,Real Bed,10,100.0,650.0,2000.0,-1.0,-1.0,1,0.0,1,1125,True,strict,True,True,0.1363013698630137
3294243,Beautiful Ballard condo with view!,4970133,"24th Avenue Northwest, Seattle, WA 98107, United States",Ballard,98107,Apartment,Entire home/apt,4,2.0,2,2,Real Bed,15,150.0,950.0,-1.0,-1.0,-1.0,1,0.0,2,1125,True,moderate,True,True,0.2808789954337899
10210971,Bedroom & private bath in Ballard,24709547,"Northwest 58th Street, Seattle, WA 98107, United States",N/A,98107,Townhouse,Private room,1,1.0,1,1,Real Bed,11,50.0,-1.0,-1.0,500.0,10.0,1,20.0,1,1125,True,flexible,True,True,0.9680745814307459
3584790,2 Bedrm Apt in the heart of Ballard,2882219,"Northwest 65th Street, Seattle, WA 98117, United States",Ballard,98117,Apartment,Entire home/apt,6,1.0,2,3,Real Bed,18,99.0,599.0,-1.0,200.0,-1.0,4,0.0,5,15,True,moderate,True,True,0.0013698630136986301
1266459,Pretty Condo in Downtown Ballard,2317654,"Northwest 57th Street, Seattle, WA 98107, United States",Ballard,98107,Apartment,Entire home/apt,2,1.5,1,1,Real Bed,6,150.0,-1.0,-1.0,-1.0,60.0,2,50.0,2,1125,True,strict,True,True,0.5544520547945205
9098059,Loft bedroom & art studio,43954674,"Northwest 60th Street, Seattle, WA 98107, United States",Ballard,98107,Bungalow,Entire home/apt,4,1.0,1,3,Real Bed,10,105.0,-1.0,-1.0,-1.0,-1.0,1,0.0,2,1125,True,flexible,True,True,0.2713660578386605
408526,Chic 3 bed 4 bath Ballard townhome,2034501,"NW 63rd St, Seattle, WA 98107, United States",Ballard,98107,House,Entire home/apt,7,4.0,3,3,Real Bed,14,218.0,1221.0,4200.0,750.0,300.0,4,15.0,14,60,True,strict,True,True,1.0
4118282,"Private, clean, spacious Townhome",19071753,"24th Avenue Northwest, Seattle, WA 98117, United States",Ballard,98117,House,Entire home/apt,5,1.5,2,2,Real Bed,12,80.0,-1.0,-1.0,200.0,75.0,1,0.0,1,7,True,moderate,True,True,0.25340563165905633
6813483,Victorian Charm in Heart of Ballard,35674639,"Northwest 62nd Street, Seattle, WA 98107, United States",Ballard,98107,Apartment,Entire home/apt,2,1.0,1,1,Real Bed,15,126.0,945.0,3970.0,300.0,95.0,2,25.0,2,1125,True,moderate,True,True,0.6161339421613394
6590264,Modern Ballard Apt 4 Tech Travlers,24500821,"Northwest Market Street, Seattle, WA 98107, United States",Ballard,98107,Apartment,Entire home/apt,4,1.0,1,2,Real Bed,18,115.0,750.0,-1.0,500.0,50.0,2,50.0,1,1125,True,strict,True,True,0.6480783866057839
2650482,Modern family home in Old Ballard,205007,"Northwest 58th Street, Seattle, WA 98107, United States",Ballard,98107,Apartment,Entire home/apt,4,2.0,2,2,Real Bed,15,225.0,-1.0,-1.0,-1.0,75.0,1,0.0,2,10,True,flexible,True,True,1.0
20927,Cottage in the Heart of Ballard,79450,"NW 60th St, Seattle, WA 98107, United States",Ballard,98107,Cabin,Entire home/apt,2,1.0,1,1,Futon,10,89.0,549.0,-1.0,-1.0,10.0,2,0.0,2,14,True,moderate,True,True,0.6780060882800609
4395578,Ballard Townhome - Pet Friendly!,430709,"20th Ave NW and NW 59th St, Seattle, WA 98107, United States",Ballard,98107,House,Entire home/apt,8,2.5,3,5,Real Bed,14,225.0,-1.0,-1.0,-1.0,264.0,1,0.0,3,1125,True,strict,True,True,0.81837899543379
4995903,Ballard Cottage with Loft,13535511,"Northwest 61st Street, Seattle, WA 98107, United States",Ballard,98107,House,Entire home/apt,1,1.0,0,1,Real Bed,9,50.0,250.0,850.0,-1.0,-1.0,1,0.0,1,1125,True,flexible,True,True,0.3452625570776256
